     125       2  0.14696376D+01 -0.23826533D+01  0.32294741D+01  0.46582473D+02  0.55100462D+02  0.10854351D+02
     130       3  0.78174165D+00  0.28093961D+01  0.29164157D+01  0.83015932D+02  0.92522922D+02  0.93288322D+02
     130       4  0.21480401D+01  0.20195885D+01  0.29485657D+01  0.83046716D+02  0.87589832D+02  0.87635945D+02
     130       5  0.26758749D+01  0.10872647D+01  0.28906172D+01  0.82803865D+02  0.93153589D+02  0.91502695D+02
     132       4  0.69147949D-01  0.13968069D+01  0.18198786D+01  0.25104955D+02  0.53510016D+02  0.10182315D+03
     132       5  0.41629771D+00 -0.15698710D+01  0.16330786D+01  0.25092837D+02  0.14133250D+03  0.11471687D+03
     134       5 -0.19871712D+01  0.26546519D+01  0.33886158D+01  0.49357576D+02  0.15892765D+03  0.14790896D+03
     135       6  0.28047939D+01 -0.56019538D+00  0.28623858D+01  0.46776496D+02  0.12763269D+03  0.12779804D+03
     135       7  0.10026245D+01 -0.24154515D+01  0.26828691D+01  0.47022714D+02  0.43997096D+02  0.32745319D+02
     137       2 -0.93732459D+00  0.20510003D+01  0.23277683D+01  0.70907800D+02  0.80093055D+02  0.60115670D+02
     137       3  0.16870215D+01  0.16516640D+01  0.23954258D+01  0.71016968D+02  0.10349542D+03  0.88741986D+02
     137       5 -0.34960669D+00 -0.22739554D+01  0.23229588D+01  0.70885046D+02  0.74220428D+02  0.80579539D+02
     137       7 -0.87759778D+00  0.22632216D+01  0.24288633D+01  0.71216189D+02  0.10559025D+03  0.10804562D+03
     142       2 -0.21027126D+01  0.12162522D+01  0.26556942D+01  0.55772367D+02  0.14185450D+03  0.17251008D+03
     142       7  0.18818548D+01 -0.11178108D+01  0.27350816D+01  0.55959121D+02  0.51328399D+02  0.10340648D+03
     149       2  0.61344644D+00  0.28615977D+01  0.29271068D+01  0.75107260D+02  0.84066621D+02  0.83700709D+02
     149       3 -0.26345475D+01  0.15765817D+01  0.30716131D+01  0.75421909D+02  0.91961705D+02  0.91105708D+02
     149       5 -0.16575579D+01 -0.20818068D+01  0.26631551D+01  0.75181818D+02  0.94111492D+02  0.91589253D+02
     149       6  0.16233156D+01 -0.24171094D+01  0.29181817D+01  0.75241356D+02  0.84494313D+02  0.85690032D+02
     150       4 -0.24574457D+01 -0.17763281D+00  0.28211162D+01  0.88107277D+02  0.47430836D+02  0.45842951D+02
     159       2  0.20328844D+01 -0.26484490D+01  0.33813722D+01  0.69241488D+02  0.47500041D+02  0.48654452D+02
