a+b
    2015       3      18       3      22

L = 2.00
alpha0 (deg) / E (MeV) / j0, sigma (cm2.sr.s.MeV)^-1
     176.4    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00

L = 2.30
alpha0 (deg) / E (MeV) / j0, sigma (cm2.sr.s.MeV)^-1
                 26.00                   34.00                   42.00                   58.00
       3.6    2.96e-01    5.82e-01    0.00e+00    0.00e+00    2.96e-01    4.12e-01    0.00e+00    0.00e+00
      10.8    6.90e-01    4.51e-01    2.85e-01    4.35e-02    9.31e-02    7.74e-02    5.95e-02    2.17e-02
      18.0    1.54e+00    7.53e-01    5.51e-01    1.26e-01    1.15e-01    7.77e-02    7.17e-02    3.06e-02
      25.2    3.25e+00    2.10e+00    1.21e+00    2.32e-01    1.32e-01    1.06e-01    8.09e-02    3.49e-02
      32.4    5.05e+00    2.83e+00    1.65e+00    5.26e-01    1.54e-01    1.16e-01    8.72e-02    4.80e-02
      39.6    7.33e+00    3.42e+00    2.42e+00    9.09e-01    2.10e-01    1.42e-01    1.19e-01    7.33e-02
      46.8    1.03e+01    3.63e+00    2.95e+00    1.53e+00    2.95e-01    1.74e-01    1.54e-01    1.15e-01
      54.0    1.74e+01    5.15e+00    3.32e+00    2.43e+00    4.39e-01    2.36e-01    1.84e-01    1.63e-01
      61.2    2.45e+01    7.20e+00    4.62e+00    2.84e+00    5.98e-01    3.25e-01    2.56e-01    2.03e-01
      68.4    3.48e+01    8.68e+00    5.41e+00    3.55e+00    9.89e-01    4.90e-01    3.82e-01    3.08e-01
      75.6    4.46e+01    1.09e+01    6.26e+00    4.44e+00    1.39e+00    6.66e-01    5.07e-01    4.29e-01
      82.8    5.14e+01    1.22e+01    7.95e+00    4.69e+00    2.35e+00    1.12e+00    9.12e-01    6.77e-01
      90.0    5.42e+01    1.25e+01    1.13e+01    5.22e+00    6.44e+00    3.04e+00    3.01e+00    1.84e+00
      97.2    5.02e+01    1.15e+01    6.32e+00    5.12e+00    2.37e+00    1.12e+00    8.10e-01    7.46e-01
     104.4    4.62e+01    1.02e+01    6.89e+00    4.52e+00    1.43e+00    6.72e-01    5.36e-01    4.37e-01
     111.6    3.41e+01    8.89e+00    5.10e+00    3.53e+00    9.87e-01    4.92e-01    3.79e-01    3.03e-01
     118.8    2.49e+01    6.68e+00    4.07e+00    3.28e+00    6.03e-01    3.11e-01    2.42e-01    2.17e-01
     126.0    1.61e+01    4.85e+00    3.19e+00    2.03e+00    4.12e-01    2.25e-01    1.79e-01    1.43e-01
     133.2    1.13e+01    3.95e+00    2.69e+00    1.70e+00    3.10e-01    1.82e-01    1.50e-01    1.18e-01
     140.4    6.90e+00    3.42e+00    2.11e+00    9.45e-01    1.97e-01    1.38e-01    1.08e-01    7.61e-02
     147.6    4.79e+00    2.81e+00    2.04e+00    5.65e-01    1.43e-01    1.10e-01    9.61e-02    5.09e-02
     154.8    3.26e+00    1.80e+00    1.13e+00    2.80e-01    1.27e-01    9.45e-02    7.38e-02    3.68e-02
     162.0    1.30e+00    8.60e-01    3.87e-01    9.21e-02    1.01e-01    8.32e-02    5.52e-02    2.66e-02
     169.2    5.62e-01    2.84e-01    1.48e-01    3.78e-02    7.95e-02    5.46e-02    3.81e-02    2.18e-02
